S.No.,Code,Name,Branch,2020,2019,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,links
1,E001,University Visveswariah College of Engineering Bangalore,AI-Artificial Intelligence ,,,19290,0,0,10208,23070,14859,11219,0,0,5912,0,15254,5977,0,0,5891,7512,13336,29638,53754,30827,16716,0,20891,https://uvce.ac.in
2,E001,University Visveswariah College of Engineering Bangalore,CE-Civil,,,85688,0,93078,69783,75697,95973,83592,0,96030,53856,0,63267,59545,0,60337,41380,57100,58101,75535,76748,87304,42512,0,0,https://uvce.ac.in
3,E001,University Visveswariah College of Engineering Bangalore,CS-Computer Science,,,3151,0,0,4133,8767,5345,9313,0,0,3263,0,0,3932,0,0,2579,7054,5048,16140,16694,23646,11788,0,13006,https://uvce.ac.in
4,E001,University Visveswariah College of Engineering Bangalore,EC-Electronics and Communications,,,14623,18177,25952,12355,0,18461,16731,0,17724,8814,0,14305,10460,14951,13993,8474,11650,13808,35191,0,40847,19814,0,0,https://uvce.ac.in
5,E001,University Visveswariah College of Engineering Bangalore,EE-Electrical and Electronics,,,28873,0,0,32458,0,45902,25644,89944,0,23360,45607,0,26953,0,28813,18916,29031,28175,47675,0,49077,31406,0,0,https://uvce.ac.in
6,E001,University Visveswariah College of Engineering Bangalore,IS-Information Science,,,7477,0,0,7384,0,11255,10273,0,0,5121,0,0,4702,0,0,4304,6566,5951,25719,0,30896,13016,17615,14699,https://uvce.ac.in
7,E001,University Visveswariah College of Engineering Bangalore,ME-Mechanical,,,101314,0,0,94040,115084,141557,80818,0,115545,51521,0,82218,61271,109399,84367,43447,59959,76682,132354,149497,169571,84043,0,0,https://uvce.ac.in
8,E002,S K S J T Institute of Engineering. Bangalore,CE-Civil,,,109873,0,0,128807,0,162869,103601,0,0,87836,0,0,88188,0,103994,80554,99399,101023,106560,137427,109757,104710,0,0,https://gsksjti.ac.in
9,E002,S K S J T Institute of Engineering. Bangalore,CS-Computer Science,,,21682,0,0,21326,31176,21503,22494,0,28071,16143,0,22296,17379,0,0,15092,21397,19096,34605,0,43113,23879,0,0,https://gsksjti.ac.in
10,E002,S K S J T Institute of Engineering. Bangalore,EC-Electronics and Communication,,,44174,0,0,33910,36276,41407,56237,0,0,32874,0,0,33118,0,0,26495,28887,30976,46375,109435,50279,28759,0,62027,https://gsksjti.ac.in
11,E002,S K S J T Institute of Engineering. Bangalore,ST-Silk Technology,,,110116,0,0,102542,0,0,0,0,0,0,0,0,135518,0,0,79658,121845,111754,122708,0,0,128822,0,0,https://gsksjti.ac.in
12,E002,S K S J T Institute of Engineering. Bangalore,TX-Textile,,,116908,0,0,151329,0,0,144354,0,0,103504,0,0,137766,155803,0,100403,0,118216,155224,0,0,0,0,0,https://gsksjti.ac.in
13,E003,"B M S College of Engineering Basavanagudi,Bangalore",CE-Civil,,,44031,0,124660,65253,151829,0,55425,0,0,33955,0,0,40490,0,83239,27793,38065,42321,71265,86971,137114,45047,0,0,https://www.bmsce.ac.in
